record_id,source_id,county_code,parent_source,apps_received,new_registrations,name_changes,address_changes,party_changes,regis_updates,rej_apps,county_desc,description,rej_dupes,nonrej_dupes,apps_received_prior,new_registrations_prior,name_changes_prior,address_changes_prior,party_changes_prior,regis_updates_prior,rej_apps_prior,rej_dupes_prior,nonrej_dupes_prior
1,10007,1,PA,0,0,0,0,0,0,0,01 - ADAIR,Public Assistance (Unspecified),0,0,0,0,0,0,0,0,0,0,0
3,34001,1,PA,0,0,0,0,0,0,0,01 - ADAIR,Health Dept. Web,0,0,0,0,0,0,0,0,0,0,0
5,80701,1,PA,0,0,0,0,0,0,0,01 - ADAIR,Health Care Authority Web,0,0,0,0,0,0,0,0,0,0,0
7,83001,1,PA,2,3,0,0,0,0,0,01 - ADAIR,Dept. of Human Services Web,0,0,1,1,1,1,0,1,0,0,0
9,34000,2,PA,0,0,0,0,0,0,0,02 - ALFALFA,Health Dept. Print,0,0,0,0,0,0,0,0,0,0,0
11,80700,2,PA,0,0,0,0,0,0,0,02 - ALFALFA,Health Care Authority Print,0,0,0,0,0,0,0,0,0,0,0
13,83000,2,PA,1,1,0,0,0,0,0,02 - ALFALFA,Dept. of Human Services Print,0,0,0,0,0,0,0,0,0,0,0
15,10007,3,PA,0,0,0,0,0,0,0,03 - ATOKA,Public Assistance (Unspecified),0,0,0,0,0,0,0,0,0,0,0
17,34001,3,PA,0,0,0,0,0,0,0,03 - ATOKA,Health Dept. Web,0,0,0,0,0,0,0,0,0,0,0
19,80701,3,PA,0,0,0,0,0,0,0,03 - ATOKA,Health Care Authority Web,0,0,0,0,0,0,0,0,0,0,0
